order_id,date,customer_id,salesperson_id,segment,sku,qty,list_unit_price,discount_pct,unit_cost
DO201906000001,7/6/19,D00001,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,8.06
DO201907000002,16/07/2019,D00001,SP002,casual,BEAN-ESPRESSO-1KG,2,62,0,32.3
DO201908000003,25/08/2019,D00001,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,8.1
DO201908000003,25/08/2019,D00001,SP002,casual,ACC-DISTRIBUTOR-58MM,2,95,0,37.78
DO201909000004,26/09/2019,D00001,SP002,casual,BEAN-SINGLE-ETH-250G,2,22,0,10.28
DO201910000005,29/10/2019,D00001,SP002,casual,BEAN-HOUSE-250G,2,18,0.024,6.78
DO201911000006,27/11/2019,D00001,SP002,casual,BEAN-ESPRESSO-250G,8,19,0,8.16
DO201912000007,20/12/2019,D00001,SP002,casual,BEAN-HOUSE-250G,10,18,0,6.81
DO201912000007,20/12/2019,D00001,SP002,casual,ACC-TAMPER-58MM,2,60,0,21.8
DO201701000008,29/01/2017,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.5
DO201703000009,8/3/17,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.54
DO201704000010,17/04/2017,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.56
DO201704000010,17/04/2017,D00002,SP002,casual,ACC-TAMPER-58MM,2,60,0,20.15
DO201705000011,29/05/2017,D00002,SP002,casual,BEAN-HOUSE-250G,4,18,0,6.31
DO201705000011,29/05/2017,D00002,SP002,casual,ACC-KNOCKBOX,2,55,0,18.18
DO201707000012,6/7/17,D00002,SP002,casual,BEAN-ESPRESSO-250G,4,19,0,7.61
DO201708000013,12/8/17,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.36
DO201708000013,12/8/17,D00002,SP002,casual,CLEAN-DESCALER-500ML,2,25,0,8.14
DO201709000014,12/9/17,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0.008,6.37
DO201710000015,25/10/2017,D00002,SP002,casual,BEAN-HOUSE-250G,4,18,0,6.39
DO201711000016,28/11/2017,D00002,SP002,casual,BEAN-HOUSE-1KG,4,60,0,25.62
DO201712000017,27/12/2017,D00002,SP002,casual,BEAN-ESPRESSO-250G,4,19,0,7.71
DO201801000018,20/01/2018,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.44
DO201801000018,20/01/2018,D00002,SP002,casual,CLEAN-DESCALER-500ML,2,25,0,8.24
DO201803000019,4/3/18,D00002,SP002,casual,BEAN-ESPRESSO-250G,4,19,0.017,7.76
DO201804000020,14/04/2018,D00002,SP002,casual,BEAN-DECAF-250G,2,20,0,8.3
DO201805000021,17/05/2018,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.5
DO201806000022,28/06/2018,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.82
DO201808000023,11/8/18,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.55
DO201809000024,13/09/2018,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.88
DO201810000025,17/10/2018,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.9
DO201810000025,17/10/2018,D00002,SP002,casual,CLEAN-DESCALER-500ML,2,25,0,8.42
DO201811000026,14/11/2018,D00002,SP002,casual,BEAN-ESPRESSO-250G,4,19,0,7.92
DO201812000027,17/12/2018,D00002,SP002,casual,BEAN-ESPRESSO-250G,4,19,0,7.94
DO201901000028,16/01/2019,D00002,SP002,casual,BEAN-ESPRESSO-250G,2,19,0,7.96
DO201902000029,18/02/2019,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.65
DO201904000030,6/4/19,D00002,SP002,casual,BEAN-HOUSE-250G,4,18,0,6.68
DO201905000031,6/5/19,D00002,SP002,casual,BEAN-HOUSE-250G,2,18,0,6.7
